reset,
879,0.4
983,0.6
1076,0.7
1169,0.8
1261,0.9
1354,0.7
1447,0.6
1541,0.6
1634,0.6
1727,0.6
1820,0.8
1913,0.9
2007,1
2100,0.8
2193,0.5
2286,0.4
2379,0.5
2472,0.5
2566,0.4
2658,0.4
2751,0.4
2844,0.4
2937,0.6
3031,0.8
3124,1
3217,1.1
3310,1.1
3403,1.2
3496,1.4
3590,1.6
3683,1.7
3776,1.7
3869,1.9
3962,2.1
4055,2.4
4148,2.8
4241,3.2
4334,3.4
4427,3.6
4520,3.9
4614,4
4707,4
4800,4
4893,3.9
4986,3.7
5080,3.4
5173,2.8
5266,2.6
5359,2.5
5451,2.3
5544,2.2
5638,2.2
5731,2.4
5824,2.7
5917,3.1
6010,3.3
6104,3.6
6197,3.8
6290,4.1
6383,4.1
6476,4.2
6569,4.2
6663,4.2
6755,4.1
6848,4
6941,3.8
7034,3.6
7128,3.4
7221,3.1
7314,2.9
7407,2.7
7500,2.6
7593,2.5
7687,2.6
7780,2.9
7873,3.2
7966,3.5
8059,3.7
8152,3.8
8245,4
8338,4.2
8431,4.2
8524,4.3
8617,4.4
8711,4.4
8804,4.4
8897,4.3
8990,4.1
9083,3.8
9177,3.5
9270,3.3
9363,3.2
9456,3.1
9548,3.1
9641,3.3
9735,3.5
9828,3.8
9921,4.1
10014,4.3
10107,4.4
10201,4.5
10294,4.6
10387,4.6
10480,4.5
10573,4.4
10667,4.4
10760,4.2
10852,3.8
10945,3.3
11038,3.1
11131,2.8
11225,2.6
11318,2.5
11411,2.3
11504,2.1
11597,2.2
11691,2.8
11784,3.3
11877,3.7
11970,4
12063,4.2
12155,4.4
12249,4.5
12342,4.5
12435,4.5
12528,4.3
12621,4.1
12715,3.8
12808,3.4
12901,3.3
12994,3
13087,2.7
13180,2.5
13274,2.4
13367,2.7
13460,3.1
13552,3.4
13645,3.7
13739,3.9
13832,4.1
13925,4.3
14018,4.5
14111,4.6
14204,4.6
14298,4.6
14391,4.5
14484,4.4
14577,4
14670,3.5
14764,3.3
14857,3.1
14949,2.8
15042,2.7
15135,2.5
15228,2.6
15322,3
15415,3.3
15508,3.7
15601,3.8
15694,4
15788,4.1
15881,4.3
15974,4.3
16067,4.5
16160,4.5
16253,4.5
16346,4.4
16439,4.2
16532,3.7
16625,3.4
16718,3.2
16812,2.9
16905,2.7
16998,2.7
17091,2.6
17184,2.7
17277,3.2
17371,3.5
17464,3.7
17557,3.9
17649,4.1
17742,4.3
17836,4.4
17929,4.4
18022,4.4
18115,4.4
18208,4.3
18301,4.2
18395,4
18488,3.7
18581,3.5
18674,3.4
18767,3.3
18861,3.2
18954,3.1
19047,3
19139,3
19232,3.3
19325,3.5
19419,3.8
19512,4.1
19605,4.2
19698,4.4
19791,4.6
19885,4.7
19978,4.8
20071,4.8
20164,4.8
20257,4.7
20350,4.5
