reset,
862,0
965,0
1058,0
1152,0
1245,-0.1
1338,-0.2
1431,-0.3
1524,-0.3
1617,-0.3
1711,-0.2
1803,-0.2
1896,-0.2
1989,-0.2
2082,-0.2
2176,-0.2
2269,-0.1
2362,0
2455,0
2548,0.2
2641,0.3
2735,0.4
2828,0.6
2920,0.6
3013,0.5
3106,0.5
3200,0.5
3293,0.3
3386,0.2
3479,0.1
3572,0.2
3665,0.8
3759,1.6
3852,1.7
3944,1.5
4037,1.9
4130,2.4
4224,2.6
4317,2.4
4410,2.1
4503,1.8
4596,1.5
4689,1.3
4783,1.2
4876,1.2
4969,1.1
5061,1
5154,0.9
5248,0.9
5341,0.9
5434,1.4
5527,2.2
5620,3.1
5713,3.7
5807,4.2
5900,4.7
5993,5.1
6086,5.3
6178,5.6
6272,6
6365,6.2
6458,6.5
6551,6.8
6644,7.1
6737,7.4
6831,7.8
6924,8
7017,8.1
7110,8.4
7202,8.6
7296,8.8
7389,9.1
7482,9.2
7575,8.9
7668,8.1
7761,7.3
7855,6.6
7948,5.9
8041,5.3
8134,4.7
8227,4.3
8320,3.8
8413,3.5
8506,3.4
8599,3.2
8692,3
8785,2.7
8879,2.4
8972,2.1
9065,1.9
9158,1.7
9251,1.8
9345,2.1
9437,2.6
9530,3.2
9623,3.8
9716,4.4
9809,5
9903,5.4
9996,5.8
10089,6
10182,6.4
10275,6.7
10369,7
10462,7.4
10554,7.8
10647,8.1
10740,8.3
10833,8.4
10927,8.2
11020,7.7
11113,6.9
11206,6.1
11299,5.2
11393,4.5
11486,3.9
11579,3.3
11671,2.7
11764,2
11857,1.5
11951,1
12044,0.7
12137,0.6
12230,0.6
12323,0.7
12417,0.5
12510,0.4
12603,0.3
12696,0.4
12788,0.4
12881,0.4
12975,0.6
13068,1.4
13161,2.5
13254,3.5
13347,4.4
13441,5.1
13534,5.7
13627,6.3
13720,6.9
13813,7.3
13906,7.8
13999,8.2
14092,8.6
14185,8.9
14278,9.1
14371,9.4
14465,9.6
14558,9.5
14651,9.1
14744,8.4
14837,7.7
14930,7.1
15024,6.5
15116,5.9
15209,5.5
15302,5
15395,4.6
15489,4.1
15582,3.8
15675,3.4
15768,3
15861,2.7
15954,2.4
16048,2.1
16141,1.9
16233,1.6
16326,1.4
16419,1.2
16513,0.9
16606,0.9
16699,1.5
16792,2.5
16885,3.6
16978,4.7
17072,5.5
17165,6.2
17258,6.7
17350,7.3
17443,7.7
17537,8.1
17630,8.4
17723,8.7
17816,8.9
17909,9.2
18002,9.4
18096,9.4
18189,9.1
18282,8.6
18375,7.9
18467,7.3
18561,6.6
18654,6
18747,5.3
18840,4.7
18933,4.2
19026,3.7
19120,3.2
19213,2.6
19306,2.1
19399,1.5
19492,1.2
19585,0.8
19678,0.5
19771,0.5
19864,0.5
19957,0.6
20050,0.9
20144,1.6
20237,2.2
20330,3.1
20423,4.1
20516,5
20610,5.8
20702,6.4
20795,6.9
20888,7.3
20981,7.7
21074,8.2
21168,8.5
21261,8.9
21354,9.2
21447,9.3
21540,9.3
21634,9.3
21727,9
21819,8.3
21912,7.6
22005,6.7
22098,5.9
22192,5.2
22285,4.5
22378,4
22471,3.5
22564,3.1
22658,2.5
22751,2.1
22844,1.6
22936,1.1
23029,0.8
23122,0.7
23216,0.5
23309,0.5
23402,0.4
23495,0.4
23588,1
23682,2
23775,2.9
23868,3.7
23961,4.4
24053,5.1
24146,5.6
24240,6.1
24333,6.6
24426,7.2
24519,7.6
24612,7.9
24706,8.3
24799,8.8
24892,9.2
24985,9.5
25078,9.8
25170,9.8
25264,9.4
25357,8.6
25450,7.8
25543,7.1
25636,6.4
25730,5.8
25823,5.3
25916,4.8
26009,4.4
26102,4
26195,3.6
26289,3.3
26381,3
26474,2.8
26567,2.5
26660,2.2
26754,1.9
26847,1.7
26940,1.4
27033,1.2
27126,1
27219,0.9
27313,1.1
27406,1.6
27498,2.6
27591,3.6
27684,4.7
27778,5.7
27871,6.5
27964,7.1
28057,7.7
28150,8.2
28243,8.6
28337,9
28430,9.4
28523,9.7
28615,10
28708,10.3
28802,10.4
28895,10
28988,9.4
29081,8.7
29174,7.8
29267,6.8
29361,6.2
29454,5.6
29547,5.2
29640,4.7
29732,4.4
29826,4
29919,3.7
30012,3.3
30105,2.9
30198,2.6
30291,2.3
30385,2
30478,1.8
30571,1.5
30664,1.2
30757,0.9
30850,0.8
30943,1
31036,1.8
31129,2.9
31222,3.7
31315,4.7
31409,5.6
31502,6.3
31595,6.9
31688,7.5
31781,7.9
31875,8.3
31967,8.7
32060,9.1
32153,9.3
32246,9.3
32339,9.6
32433,9.5
32526,9.5
32619,9.4
32712,9.4
32805,9.2
32899,9
32992,8.8
33084,8.6
33177,8.2
33270,7.4
33363,6.7
33457,6
33550,5.2
33643,4.4
33736,3.7
33829,3
33923,2.3
34016,1.7
34109,1.1
34202,0.8
34294,0.4
34387,0.2
34481,0
34574,-0.1
34667,-0.2
34760,-0.2
34853,-0.2
34947,-0.2
35040,-0.3
35133,-0.2
35226,-0.2
35319,-0.3
35411,-0.2
35505,-0.2
35598,-0.3
35691,-0.3
35784,-0.3
35877,-0.3
35971,-0.3
36064,-0.3
36157,-0.3
36250,-0.3
36343,-0.3
36436,-0.2
36530,-0.2
36622,-0.2
36715,-0.3
36808,-0.3
36901,-0.3
36995,-0.3
37088,-0.2
37181,-0.2
37274,-0.1
37367,-0.2
37460,-0.2
37554,-0.2
37647,-0.2
37739,-0.2
37832,-0.2
37925,-0.2
38019,-0.2
38112,-0.2
38205,-0.2
38298,-0.2
38391,-0.2
38484,-0.1
38578,-0.1
38671,-0.2
38764,-0.2
38857,-0.1
38949,-0.1
39043,-0.2
39136,0
reset,
900,0
1003,0
1096,0
1189,0
1283,0
1376,0
1469,0
1562,0
1655,0
1748,0.1
1842,0.3
1934,0.7
2027,1.2
2120,1.8
2213,2.5
2307,3.2
2400,3.8
2493,4.4
2586,4.9
2679,5.3
2772,5.7
2866,6
2959,6.3
3051,6.3
3144,6
3237,5.5
3331,4.9
3424,4.3
3517,3.7
3610,3.1
3703,2.6
3796,2
3890,1.5
3983,1.2
4075,1
4168,0.9
4261,1.1
4355,1.6
4448,2.3
4541,3
4634,3.7
4727,4.3
4820,4.7
4914,5
5007,5.2
5100,5.5
5192,5.7
5285,5.8
5379,5.7
5472,5.3
5565,4.9
5658,4.6
5751,4.2
5844,3.8
5938,3.5
6031,3.1
6124,2.6
6217,2.1
6309,1.6
6403,1.1
6496,0.9
6589,0.8
6682,0.7
6775,0.8
6868,1.2
6962,1.6
7055,2.2
7148,2.7
7241,3.2
7333,3.6
7427,4.1
7520,4.5
7613,4.7
7706,5
7799,5.2
7892,5.2
7986,5.1
8079,4.8
8172,4.5
8265,4.1
8358,3.7
8451,3.3
8544,3
8637,2.7
8730,2.4
8823,2.1
8916,1.8
9010,1.5
9103,1.3
9196,1.1
9289,1
9382,0.8
9476,0.7
9568,0.7
9661,0.8
9754,1.1
9847,1.5
9940,1.8
10034,2.2
10127,2.7
10220,3.2
10313,3.5
10406,3.9
10500,4.2
10593,4.5
10685,4.8
10778,5
10871,5.1
10964,5
11058,4.6
11151,4.2
11244,3.8
11337,3.3
11430,2.9
11524,2.6
11617,2.2
11709,1.9
11802,1.6
11895,1.3
11988,1.2
12082,1.1
12175,1
12268,0.9
12361,0.7
12454,0.6
12548,0.4
12641,0.3
12734,0.4
12826,0.6
12919,0.9
13012,1.2
13106,1.7
13199,2.2
13292,2.8
13385,3.2
13478,3.6
13572,4
13665,4.3
13758,4.5
13851,4.6
13943,4.7
14036,4.7
14130,4.5
14223,4.2
14316,3.8
14409,3.4
14502,2.8
14596,2.4
14689,2
14782,1.7
14875,1.4
14967,1.2
15060,1
15154,0.9
15247,0.8
15340,0.6
15433,0.5
15526,0.3
15620,0.1
15713,0
15806,-0.1
15899,-0.1
15992,0.1
16084,0.6
16178,1.2
16271,1.8
16364,2.3
16457,2.8
16550,3.2
16644,3.5
16737,3.7
16830,4
16923,4.1
17016,4.1
17110,4
17202,3.9
17295,3.7
17388,3.5
17481,3.5
17574,3.5
17668,3.3
17761,2.8
17854,2.2
17947,1.6
18040,1.2
18134,0.8
18226,0.5
18319,0.3
18412,0.2
18505,0.1
18598,0
18692,0
18785,0.1
18878,0.5
18971,1.2
19064,1.8
19158,2.3
19251,2.8
19343,3
19436,3.2
19529,3.3
19622,3.3
19716,3.3
19809,3.2
19902,3.1
19995,3.1
20088,3.1
20182,2.8
20275,2.1
20368,1.6
20460,1.2
20553,0.9
20646,0.7
20740,0.6
20833,0.4
20926,0.4
21019,0.4
21112,0.4
21206,0.3
21299,0.4
21392,0.6
21485,1
21577,1.4
21670,1.9
21764,2.5
21857,3
21950,3.2
22043,3.3
22136,3.3
22230,3.3
22323,3.3
22416,3.2
22509,3.2
22602,3.1
22694,2.9
22788,2.5
22881,2
22974,1.5
23067,1.1
23160,0.7
23254,0.2
23347,0
23440,-0.1
23533,-0.2
23626,-0.2
23719,-0.2
23812,-0.2
23905,-0.2
23998,0
24091,0.4
24184,1
24278,1.8
24371,2.4
24464,2.9
24557,3.4
24650,3.7
24743,4.1
24837,4.4
24930,4.5
25022,4.5
25115,4.5
25208,4.4
25302,4.2
25395,4
25488,3.7
25581,3.2
25674,2.6
25767,2
25861,1.3
25954,0.7
26047,0.1
26139,-0.2
26232,-0.2
26326,-0.1
26419,-0.1
26512,-0.1
26605,-0.1
26698,-0.1
26791,-0.1
26885,-0.1
