reset,
917,0
1020,0
1114,0
1207,0
1300,0
1392,0
1485,0
1579,0
1672,0
1765,0
1858,0
1951,0
2044,0
2138,0
2231,0
2324,0
2417,0
2509,0
2603,0
2696,0
2789,0
2882,0
2975,0
3068,0
3162,0
3255,0
3348,0
3441,0
3534,0
3627,0
3720,0
3813,0
3906,0
3999,0
4092,0
4186,0
4279,0
4372,0
4465,0.1
4558,0.6
4652,1.5
4744,2.7
4837,4
4930,5.1
5023,6
5116,6.7
5210,7.4
5303,7.8
5396,8.2
5489,8.4
5582,8.3
5676,7.6
5769,6.4
5861,4.6
5954,2.1
6047,0.5
6140,0
6234,-0.1
6327,-0.2
6420,-0.1
6513,-0.1
6606,-0.2
6700,-0.1
6793,-0.1
6886,-0.1
6979,-0.1
7071,-0.1
7164,-0.1
7258,-0.1
7351,0.1
7444,1.2
7537,2.4
7630,3.5
7724,4.1
7817,4.3
7910,5.1
8003,6.2
8096,6.9
8188,7.4
8282,7.8
8375,8
8468,7.8
8561,7.2
8654,5.8
8748,3.3
8841,1.2
8934,0.2
9027,0
9120,-0.1
9213,-0.1
9307,-0.1
9399,-0.1
9492,-0.1
9585,0
9678,0.2
9772,0.8
9865,1.3
9958,1.9
10051,3.2
10144,4.6
10237,5.5
10331,6.3
10424,6.9
10517,7.1
10609,7.2
10702,7.4
10796,7.8
10889,8
10982,8
11075,7.8
11168,7.3
11261,6
11355,3.9
11448,1.7
11541,0.4
11634,0
11726,0
11820,-0.1
11913,-0.2
12006,-0.3
12099,-0.2
12192,-0.2
12285,-0.2
12379,-0.1
12472,0.3
12565,1.3
12658,2.3
12751,3.4
12845,4.2
12937,4.9
13030,5.7
13123,6.2
13216,6.6
13309,6.9
13403,7.4
13496,7.9
13589,8.4
13682,8.7
13775,8.7
13869,8.4
13962,7.6
14054,6
14147,3.7
14240,1.3
14333,0
14427,-0.2
14520,-0.3
14613,-0.4
14706,-0.5
14799,-0.5
14893,-0.5
14986,-0.5
15079,-0.4
15172,-0.4
15264,-0.4
15357,-0.2
15451,0.1
15544,1.1
15637,2.4
15730,3
15823,3.7
15917,4.6
16010,5.4
16103,5.9
16196,6.3
16289,6.7
16382,7.1
16475,7.6
16568,8
